Date,High,Vol.,Low,Price,Chg. %,Open,Unnamed: 7,Close
12/09/2023,1547.88,156.66M,1533.06,1543.35,-0.17%,1545.94,,1545.94
11/09/2023,1548.82,176.51M,1534.55,1545.94,0.68%,1535.49,,1545.94
08/09/2023,1539.80,151.84M,1531.88,1535.49,-0.04%,1536.18,,1535.49
07/09/2023,1542.46,190.18M,1528.93,1536.18,0.47%,1528.93,,1536.18
06/09/2023,1538.28,207.27M,1522.12,1528.93,-0.61%,1538.28,,1528.93
05/09/2023,1554.24,171.22M,1538.15,1538.28,-0.94%,1552.95,,1538.28
01/09/2023,1561.62,131.80M,1549.31,1552.95,0.23%,1549.31,,1552.95
31/08/2023,1568.93,196.34M,1549.26,1549.31,-1.21%,1568.21,,1549.31
30/08/2023,1577.99,141.00M,1566.97,1568.21,-0.03%,1568.67,,1568.21
29/08/2023,1569.16,160.34M,1555.68,1568.67,0.83%,1555.76,,1568.67
28/08/2023,1562.07,150.71M,1549.85,1555.76,0.23%,1552.14,,1555.76
25/08/2023,1557.21,140.18M,1540.43,1552.14,0.60%,1542.82,,1552.14
24/08/2023,1564.23,207.12M,1542.26,1542.82,-0.76%,1554.7,,1542.82
23/08/2023,1563.11,264.29M,1550.13,1554.7,0.29%,1550.13,,1554.7
22/08/2023,1557.31,202.33M,1549.98,1550.13,-0.37%,1555.86,,1550.13
21/08/2023,1557.88,306.06M,1549.04,1555.86,0.09%,1554.39,,1555.86
18/08/2023,1558.26,223.33M,1550.05,1554.39,-0.01%,1554.53,,1554.39
17/08/2023,1566.51,291.77M,1553.21,1554.53,-0.76%,1566.51,,1554.53
16/08/2023,1581.14,231.08M,1566.45,1566.51,-0.78%,1578.77,,1566.51
15/08/2023,1584.94,226.69M,1577.12,1578.77,-0.36%,1584.46,,1578.77
14/08/2023,1589.49,209.55M,1578.58,1584.46,0.33%,1579.26,,1584.46
11/08/2023,1581.79,182.77M,1566.85,1579.26,0.57%,1570.32,,1579.26
10/08/2023,1589.97,203.24M,1568.94,1570.32,-0.04%,1571.0,,1570.32
09/08/2023,1579.83,193.85M,1569.56,1571.0,-0.05%,1571.85,,1571.0
08/08/2023,1573.56,239.05M,1559.63,1571.85,0.78%,1559.63,,1571.85
07/08/2023,1561.19,200.50M,1541.39,1559.63,1.18%,1541.39,,1559.63
04/08/2023,1557.41,196.20M,1538.41,1541.39,-0.36%,1547.02,,1541.39
03/08/2023,1554.75,182.51M,1544.44,1547.02,-0.50%,1554.75,,1547.02
02/08/2023,1564.94,222.67M,1551.29,1554.75,0.06%,1553.85,,1554.75
01/08/2023,1564.40,204.44M,1550.24,1553.85,-0.51%,1561.85,,1553.85
31/07/2023,1574.35,239.63M,1556.61,1561.85,-0.79%,1574.35,,1561.85
28/07/2023,1577.22,194.59M,1565.74,1574.35,0.29%,1569.73,,1574.35
27/07/2023,1589.22,225.93M,1569.49,1569.73,-0.77%,1581.84,,1569.73
26/07/2023,1587.24,183.24M,1571.51,1581.84,-0.08%,1583.09,,1581.84
25/07/2023,1589.76,172.19M,1573.37,1583.09,-0.06%,1584.08,,1583.09
24/07/2023,1594.44,180.41M,1582.76,1584.08,-0.23%,1587.77,,1584.08
21/07/2023,1592.37,246.46M,1570.75,1587.77,1.01%,1571.85,,1587.77
20/07/2023,1577.75,202.02M,1546.36,1571.85,1.65%,1546.36,,1571.85
19/07/2023,1556.10,182.69M,1538.75,1546.36,0.49%,1538.75,,1546.36
18/07/2023,1544.71,162.51M,1526.47,1538.75,0.70%,1528.05,,1538.75
17/07/2023,1534.69,143.59M,1522.46,1528.05,-0.43%,1534.69,,1528.05
14/07/2023,1539.45,163.01M,1511.97,1534.69,1.50%,1511.97,,1534.69
13/07/2023,1519.08,153.37M,1510.41,1511.97,-0.01%,1512.18,,1511.97
12/07/2023,1521.14,164.96M,1510.10,1512.18,-0.27%,1516.35,,1512.18
11/07/2023,1521.30,147.25M,1509.87,1516.35,0.00%,1516.29,,1516.35
10/07/2023,1517.89,151.10M,1504.14,1516.29,0.81%,1504.14,,1516.29
07/07/2023,1521.86,172.53M,1503.61,1504.14,-1.16%,1521.86,,1504.14
06/07/2023,1535.16,168.15M,1518.30,1521.86,-0.87%,1535.16,,1521.86
05/07/2023,1537.77,189.75M,1529.04,1535.16,-0.05%,1535.95,,1535.16
